address,name,kind,status,notes
0x0000fcf4,CONTINUE_DSP,original-symbol,verified,Shipped i960 symbol table record 102
0x0000ff24,vs_conti,original-symbol,verified,Shipped i960 symbol table record 103
0x0000ffc4,pl1_conti_alone,original-symbol,verified,Shipped i960 symbol table record 104
0x0000fff8,pl2_conti_alone,original-symbol,verified,Shipped i960 symbol table record 105
0x00010088,OVER_INT,original-symbol,verified,Shipped i960 symbol table record 106
0x0001018c,OVER_DSP,original-symbol,verified,Shipped i960 symbol table record 107
0x000102a4,ENDING_INT,original-symbol,verified,Shipped i960 symbol table record 108
0x00010404,ENDING_DSP,original-symbol,verified,Shipped i960 symbol table record 109
0x00010490,ENDSUB_INT,original-symbol,verified,Shipped i960 symbol table record 110
0x00010548,ENDSUB_WAIT_1,original-symbol,verified,Shipped i960 symbol table record 111
0x00010564,ENDSUB_DSP,original-symbol,verified,Shipped i960 symbol table record 112
0x00010754,ENDSUB_WAIT_2,original-symbol,verified,Shipped i960 symbol table record 113
0x00010784,NAME_INT,original-symbol,verified,Shipped i960 symbol table record 114
0x00010898,NAME_DSP,original-symbol,verified,Shipped i960 symbol table record 115
0x00010958,all_end,original-symbol,verified,Shipped i960 symbol table record 116
0x00010a0c,TEST_INT,original-symbol,verified,Shipped i960 symbol table record 117
0x00010b5c,TEST_DSP,original-symbol,verified,Shipped i960 symbol table record 118
0x00010bc0,RANK_INT,original-symbol,verified,Shipped i960 symbol table record 119
0x00010c48,RANK_DSP,original-symbol,verified,Shipped i960 symbol table record 120
0x00010cbc,init_event,original-symbol,verified,Shipped i960 symbol table record 121; supersedes provisional name task_registry_initialize
0x00010d54,event_loop,original-symbol,verified,Shipped i960 symbol table record 122; supersedes provisional name scheduler_dispatch
0x00010ea4,dsp_exad,original-symbol,verified,Shipped i960 symbol table record 123
0x00010ee4,del_exad,original-symbol,verified,Shipped i960 symbol table record 124
0x00010f08,interrupt_wait_b,original-symbol,verified,Shipped i960 symbol table record 125; supersedes provisional name frame_timer_prefix
0x000110b0,start_check,original-symbol,verified,Shipped i960 symbol table record 126; supersedes provisional name frame_buffer_gate
0x000110f4,debug_sw_check,original-symbol,verified,Shipped i960 symbol table record 127; supersedes provisional name video_input_sync
0x0001128c,variable_diff_init,original-symbol,verified,Shipped i960 symbol table record 128
0x000112f8,variable_diff_calc,original-symbol,verified,Shipped i960 symbol table record 129; supersedes provisional name frame_counter_advance
0x000113f4,set_game_setting,original-symbol,verified,Shipped i960 symbol table record 130
0x00011a8c,init_scroll,original-symbol,verified,Shipped i960 symbol table record 131
0x00011b48,init_fix,original-symbol,verified,Shipped i960 symbol table record 132
0x000142f4,rob_action,original-symbol,verified,Shipped i960 symbol table record 133
0x0001442c,decide_command,original-symbol,verified,Shipped i960 symbol table record 134
0x00014640,decide_my_command,original-symbol,verified,Shipped i960 symbol table record 135
0x000146ec,exec_command,original-symbol,verified,Shipped i960 symbol table record 136
0x0001499c,exec_action,original-symbol,verified,Shipped i960 symbol table record 137
0x0001645c,get_game_info,original-symbol,verified,Shipped i960 symbol table record 138; supersedes provisional name task_game_info
0x00016504,calc_unit_mat,original-symbol,verified,Shipped i960 symbol table record 139
0x000176a0,set_coli_ball_data,original-symbol,verified,Shipped i960 symbol table record 140
0x00017710,rob_revise_yang,original-symbol,verified,Shipped i960 symbol table record 141
0x0001791c,rob_spd_control,original-symbol,verified,Shipped i960 symbol table record 142
0x000180bc,action_after,original-symbol,verified,Shipped i960 symbol table record 143
0x00018144,get_my_info,original-symbol,verified,Shipped i960 symbol table record 144
0x00018644,get_en_info,original-symbol,verified,Shipped i960 symbol table record 145
0x00018c64,calc_land_time,original-symbol,verified,Shipped i960 symbol table record 146
0x00018d44,calc_stage_limit_dist,original-symbol,verified,Shipped i960 symbol table record 147
0x00018e00,calc_gyang_from_fu_vec2,original-symbol,verified,Shipped i960 symbol table record 148
0x00018e08,calc_gyang_from_fu_vec,original-symbol,verified,Shipped i960 symbol table record 149
0x00018ef8,rob_disp,original-symbol,verified,Shipped i960 symbol table record 150
0x00019008,rdn_loop,original-symbol,verified,Shipped i960 symbol table record 151
0x00019d28,set_ashi_ptn,original-symbol,verified,Shipped i960 symbol table record 152
0x00019e34,set_te_ptn,original-symbol,verified,Shipped i960 symbol table record 153
0x00019e6c,disp_hiji_ptn,original-symbol,verified,Shipped i960 symbol table record 154
0x00019ebc,rob_area_check,original-symbol,verified,Shipped i960 symbol table record 155
0x00019ef0,comp_set_motion,original-symbol,verified,Shipped i960 symbol table record 156
0x00019ef8,set_motion,original-symbol,verified,Shipped i960 symbol table record 157
0x00019efc,set_motion_comm,original-symbol,verified,Shipped i960 symbol table record 158
0x0001a1e4,set_mot_dat,original-symbol,verified,Shipped i960 symbol table record 159
0x0001ab34,calc_mht_adr,original-symbol,verified,Shipped i960 symbol table record 160
0x0001ab74,play_motion,original-symbol,verified,Shipped i960 symbol table record 161
0x0001b568,shift_mot_control,original-symbol,verified,Shipped i960 symbol table record 162
0x0001b5c8,air_mot_control,original-symbol,verified,Shipped i960 symbol table record 163
0x0001b74c,sui_ta_kamae_set,original-symbol,verified,Shipped i960 symbol table record 164
0x0001b9ac,control_init,original-symbol,verified,Shipped i960 symbol table record 165
0x0001b9dc,rob_control,original-symbol,verified,Shipped i960 symbol table record 166
0x0001d458,camera_control,original-symbol,verified,Shipped i960 symbol table record 167
0x0001e52c,calc_effect_matrix,original-symbol,verified,Shipped i960 symbol table record 168
0x0001e9bc,cc_strobo_mode,original-symbol,verified,Shipped i960 symbol table record 169
0x0001ee34,ken_camera,original-symbol,verified,Shipped i960 symbol table record 170
0x0001eeb8,poly_test_camera,original-symbol,verified,Shipped i960 symbol table record 171
0x0001eff0,calc_rob_light,original-symbol,verified,Shipped i960 symbol table record 172; supersedes provisional name camera_project_fighter_ranges
0x0001f03c,calc_rob_light_sub,original-symbol,verified,Shipped i960 symbol table record 173
0x0001f148,game_camera_init,original-symbol,verified,Shipped i960 symbol table record 174; supersedes provisional name camera_state_reset
0x0001f1c0,game_camera,original-symbol,verified,Shipped i960 symbol table record 175
0x0001f24c,game_calc_virtua_position_init,original-symbol,verified,Shipped i960 symbol table record 176
0x0001f3dc,gcvp_init,original-symbol,verified,Shipped i960 symbol table record 177
0x0001f40c,game_calc_camera_position,original-symbol,verified,Shipped i960 symbol table record 178
0x0001facc,get_ikada_poly,original-symbol,verified,Shipped i960 symbol table record 179; supersedes provisional name camera_fill_viewport_table
0x0001fbb4,get_ikada_kage_pos,original-symbol,verified,Shipped i960 symbol table record 180; supersedes provisional name camera_range_window
